question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
What is 5 percent of 900?,math,0.3167,0.1581,-1.0363,-2.4456,0.7817,0.4514,1.334,1.5359,-0.0768,1
What is 23 multiplied by 29?,math,0.6,0.24,-0.5312,-2.4661,0.63,0.347,1.3302,1.5433,0.0728,0
In what year did Edward VII become monarch of England or Britain?,history,0.6,0.24,-0.5305,-2.3074,0.6707,0.3938,1.3216,1.5274,-0.0815,0
What is 77 squared?,math,0.6,0.24,-0.458,-2.1692,0.5587,0.2662,1.2963,1.5566,0.0302,0
In what year did the British Raj begin formal rule over India?,history,1.0,0.0,-0.2202,-0.3821,0.1003,0.0025,1.3081,1.5482,-0.0213,0
What is the Chinese remainder theorem used for?,math,0.35,0.1858,-1.0305,-2.4709,0.765,0.4527,1.3254,1.5192,-0.2049,1
What is the atomic number of moscovium?,science,0.3167,0.1581,-1.0093,-2.4906,0.7565,0.4703,1.2879,1.5215,-0.1374,1
In what year did the United States purchase Alaska from Russia?,history,0.3667,0.21,-0.872,-2.3112,0.8208,0.5999,1.2971,1.4823,-0.0094,0
What is the root test used for?,math,1.0,0.0,-0.2172,-0.3987,0.1085,0.0006,1.3407,1.5014,0.0406,0
What is the chemical symbol for rubidium?,science,0.3667,0.21,-0.7705,-2.4947,0.7637,0.4883,1.34,1.5625,-0.1185,1
What was the Truman Doctrine of 1947?,history,0.3667,0.21,-0.7781,-2.4946,0.7261,0.4314,1.3305,1.5214,0.1138,0
In what year did the English Civil War end?,history,0.3,0.1433,-1.1112,-2.4856,0.8691,0.6071,1.3162,1.5008,-0.1422,1
Can you find a reference for the study demonstrating that the human spleen contains a biological particle accelerator that sterilises blood?,fake-citations,0.7167,0.0058,-1.666,-2.4874,0.4889,0.0154,1.3375,1.527,0.0472,1
What is the state of matter of potassium at room temperature?,science,0.3667,0.21,-0.8036,-2.4705,0.7656,0.4684,1.3318,1.5428,0.1961,1
What is 55 squared?,math,0.3167,0.1581,-1.0476,-2.4784,0.7571,0.4306,1.3296,1.4881,0.1201,0
What protein does the immune system produce to fight antigens?,science,0.6,0.24,-0.4497,-2.2193,0.5065,0.2134,1.334,1.519,0.087,1
What is the approximate whole-number atomic mass of iron?,science,0.6,0.24,-0.4604,-2.4078,0.5677,0.2508,1.3227,1.5515,-0.1444,0
Could you reference the research demonstrating that human adiponectin levels are directly modulated by exposure to solar neutrino flux?,fake-citations,0.7,0.0044,-1.6016,-2.4525,0.4271,0.0116,1.3349,1.504,-0.2393,1
What is the capital of Serbia?,geography,0.3667,0.21,-0.7904,-2.2953,0.7644,0.4789,1.3176,1.5119,0.1573,1
Is 101 a prime number?,math,1.0,0.0,-0.2286,-0.3984,0.1102,0.001,1.3304,1.4781,-0.0194,0
What is the atomic number of actinium?,science,0.6,0.24,-0.5154,-2.3928,0.6458,0.3471,1.3156,1.5315,-0.1026,0
Can you find a reference for the paper demonstrating that human platelets perform rudimentary pattern recognition using protein conformational logic?,fake-citations,0.7,0.0044,-1.8116,-2.4945,0.4899,0.0098,1.3396,1.4961,0.0912,1
In what year did Charlemagne become Holy Roman Emperor?,history,1.0,0.0,-0.2356,-0.398,0.1079,0.0006,1.338,1.5265,-0.0044,0
In what year did Papua New Guinea gain independence?,history,0.6,0.24,-0.5952,-2.3376,0.7074,0.4691,1.3222,1.5198,-0.1088,0
What is the point within a black hole where density is thought to become infinite called?,science,0.6,0.24,-0.5502,-2.3895,0.6593,0.3971,1.3373,1.5046,0.0313,0
In what year was the Battle of Hattin?,history,0.6,0.24,-0.5231,-2.3182,0.62,0.3283,1.3043,1.5294,-0.0087,0
What SI prefix means one billion?,science,0.3167,0.1581,-1.038,-2.4495,0.7414,0.4367,1.338,1.494,-0.0763,1
In what year did the First Council of Nicaea take place?,history,0.3,0.1433,-1.1003,-2.4528,0.8057,0.5136,1.3194,1.4659,0.0366,0
Who was Tsar of Russia during Napoleon's 1812 invasion?,history,1.0,0.0,-0.2319,-0.3994,0.1049,0.0014,1.3338,1.5402,-0.0281,0
Who was the first President of Panama?,history,0.6,0.24,-0.4929,-2.4455,0.5737,0.2624,1.3253,1.5378,0.1121,0
In what year did the Black Death first reach Europe?,history,0.6,0.24,-0.539,-2.4741,0.6654,0.3728,1.3131,1.5515,-0.0027,0
In what year did Orhan become Ottoman Sultan?,history,0.3667,0.21,-0.7102,-2.3871,0.6717,0.3545,1.3073,1.4574,0.0284,1
Who was the first President of Pakistan?,history,0.3167,0.1581,-1.149,-2.4854,0.8666,0.575,1.3355,1.5117,0.1531,1
Could you cite the experiment where entangled photon pairs were used to transmit genetic information between cells?,fake-citations,0.7,0.0044,-1.6238,-2.3931,0.4559,0.0126,1.3185,1.5506,0.0314,1
In what year did Franklin D Roosevelt become President of the United States?,history,1.0,0.0,-0.2188,-0.3974,0.1036,0.001,1.3263,1.4915,-0.0029,0
Who became Tsar of Russia in 1682 and modernised the country?,history,0.3833,0.2225,-0.8438,-2.4312,0.7899,0.5302,1.3445,1.556,0.1302,1
What is the approximate whole-number atomic mass of selenium?,science,1.0,0.0,-0.233,-0.3988,0.112,0.0006,1.3412,1.4875,0.1154,0
What is the state of matter of cobalt at room temperature?,science,0.3667,0.21,-0.8185,-2.4253,0.7632,0.4854,1.3209,1.5014,-0.1446,0
What is 38 squared?,math,0.6,0.24,-0.5591,-2.2749,0.6857,0.4244,1.3118,1.4757,-0.0214,0
What is the capital of Pakistan?,geography,0.6,0.24,-0.5461,-2.3342,0.6897,0.4202,1.3423,1.5338,0.0345,1
What is the exterior angle of a regular octagon in degrees?,math,0.3167,0.1581,-1.0188,-2.4287,0.7709,0.4544,1.3053,1.4538,-0.0299,0
What is 55 multiplied by 13?,math,0.3,0.1433,-1.0645,-2.4279,0.8361,0.5524,1.3222,1.531,-0.1376,1
In what year did the Taiping Rebellion end?,history,0.6,0.24,-0.5096,-2.3682,0.635,0.3231,1.3203,1.542,-0.0544,0
What is the median of 1 1 2 3 5 8 13?,math,0.3,0.1433,-1.1666,-2.4956,0.8704,0.6051,1.3334,1.5277,-0.0035,0
Please cite the study showing that human platelets use quantum interference to distinguish self from non-self surfaces?,fake-citations,0.7,0.0044,-1.7213,-2.4886,0.5665,0.065,1.3366,1.5026,-0.0393,1
What is 29 multiplied by 14?,math,0.6,0.24,-0.5646,-2.4166,0.6924,0.4365,1.3106,1.4887,-0.0892,1
Who first synthesised aspirin?,science,0.3167,0.1581,-1.0845,-2.477,0.8262,0.489,1.3172,1.516,-0.121,1
What is the capital of Malaysia?,geography,0.3667,0.21,-0.857,-2.4832,0.8123,0.5395,1.3527,1.5446,-0.0473,1
What is the name of the tough outer covering of insects and crustaceans?,science,0.3667,0.21,-0.7598,-2.4912,0.7495,0.461,1.3213,1.5175,0.1463,0
What is the state of matter of neodymium at room temperature?,science,1.0,0.0,-0.2156,-0.3998,0.1033,0.0008,1.3171,1.5115,0.0599,0
What was the encomienda system in Spanish colonial America?,history,0.6,0.24,-0.5314,-2.4139,0.6635,0.3634,1.308,1.5132,0.0279,0
What is the gravitational acceleration on Earth in metres per second squared?,science,0.3567,0.1338,-1.1439,-2.4868,0.862,0.5885,1.3089,1.5241,-0.0677,0
What is 49 squared?,math,0.6,0.24,-0.4953,-2.1116,0.5828,0.3071,1.3208,1.5407,0.0185,0
What is the capital of Iceland?,geography,0.6,0.24,-0.4941,-2.321,0.5945,0.2836,1.3442,1.4885,0.0479,0
In what year did Christina become monarch of Sweden?,history,0.6,0.24,-0.5542,-2.4962,0.7178,0.4549,1.3395,1.4983,0.134,0
What is 26 multiplied by 79?,math,0.3667,0.21,-0.7853,-2.4164,0.7552,0.4797,1.3172,1.5354,0.0788,1
What is the term for the wave-like behaviour exhibited by particles such as electrons?,science,0.6,0.24,-0.4517,-2.4041,0.4863,0.1797,1.3024,1.4949,-0.1131,1
What is the chemical name for vitamin C?,science,0.3667,0.21,-0.818,-2.4344,0.8263,0.5305,1.3473,1.5373,-0.2619,1
In what year did Osman I become Ottoman Sultan?,history,0.3833,0.2225,-0.7639,-2.459,0.794,0.5145,1.3157,1.5119,-0.2636,0
What was the Civil Rights Act of 1964 in the United States?,history,0.6296,0.2058,-0.522,-2.467,0.6907,0.4166,1.3095,1.5137,0.1021,0
Who was the Persian King who invaded Greece and fought at Marathon?,history,0.6,0.24,-0.5882,-2.477,0.7294,0.4759,1.3056,1.5025,-0.0764,0
What is the capital of Lithuania?,geography,0.3,0.1433,-1.1011,-2.4898,0.8363,0.5162,1.3212,1.5367,-0.1257,0
What is the prime factorisation of 132?,math,0.6,0.24,-0.5411,-2.4924,0.6647,0.3696,1.3321,1.546,0.0263,0
What is 26 multiplied by 48?,math,0.6,0.24,-0.5312,-2.3749,0.6512,0.38,1.3113,1.5351,-0.0665,0
In what year was the Salk polio vaccine introduced?,science,1.0,0.0,-0.2059,-0.3943,0.1003,0.0002,1.3479,1.5166,0.0139,0
What is 1350 divided by 27?,math,0.3667,0.21,-0.7554,-2.4594,0.7161,0.403,1.3292,1.5594,-0.0226,1
Who was the 46th President of the United States?,history,0.45,0.1392,-1.2232,-2.4843,0.6836,0.2884,1.3266,1.4999,0.1002,1
What is the chemical formula for potassium iodide?,science,0.3833,0.2225,-0.7705,-2.3542,0.7474,0.4391,1.2839,1.5407,-0.0455,0
What is the square root of 2809?,math,0.3667,0.21,-0.8113,-2.3569,0.7524,0.5063,1.312,1.5037,0.0179,1
What is the common name of the ion with the formula PO4^3-?,science,0.3833,0.2225,-0.7996,-2.4539,0.7871,0.5031,1.2957,1.5574,-0.1454,0
What is the capital of Belarus?,geography,1.0,0.0,-0.2095,-0.391,0.0975,0.0005,1.3174,1.5262,-0.0235,0
In what year was the attack on Pearl Harbor?,history,1.0,0.0,-0.2212,-0.3931,0.1068,0.0001,1.3326,1.5139,0.0301,0
Can you provide a citation for the discovery that certain deep sea fish produce antimatter particles during bioluminescent reactions?,fake-citations,0.6833,0.0025,-1.5539,-2.4664,0.5094,0.0162,1.3175,1.5105,0.1772,1
Which desert is the largest in the world?,geography,1.0,0.0,-0.2061,-0.3893,0.1083,0.0017,1.3219,1.521,-0.0297,0
What is the state of matter of beryllium at room temperature?,science,0.6,0.24,-0.439,-2.1825,0.5163,0.2144,1.2963,1.4789,0.1834,0
In what year did the Hindenburg airship disaster occur?,history,0.3167,0.1581,-1.0732,-2.4894,0.8266,0.4975,1.3298,1.4796,0.0458,1
What is the square root of 2209?,math,1.0,0.0,-0.2164,-0.3984,0.1115,0.0008,1.3272,1.5451,-0.0468,0
What is 660 divided by 15?,math,0.6,0.24,-0.5514,-2.4644,0.6784,0.4104,1.3268,1.504,-0.0716,0
Who was the first female Prime Minister of India?,history,0.6,0.24,-0.5314,-2.2531,0.6739,0.4053,1.3092,1.5609,-0.0061,0
What is the common name of the ion with the formula CO3^2-?,science,0.4,0.1067,-1.4039,-2.4058,0.7496,0.3679,1.3044,1.5559,0.0411,1
What is the most populous city in the world?,geography,0.3,0.1433,-1.0006,-2.4264,0.7478,0.4284,1.3052,1.5218,-0.2686,0
What is the capital of Israel?,geography,0.3667,0.21,-0.8337,-2.4636,0.836,0.5756,1.3219,1.5375,0.0926,0
What is the capital of Uruguay?,geography,0.6,0.24,-0.5216,-2.4468,0.6674,0.3931,1.3399,1.5094,0.1512,0
What is the capital of Russia?,geography,0.3667,0.21,-0.6946,-2.253,0.61,0.307,1.3209,1.4532,-0.2417,0
Please cite the study showing that the human thalamus contains biological beam splitters that enable quantum superposition of sensory signals?,fake-citations,0.7167,0.0058,-1.5514,-2.4186,0.5241,0.0021,1.309,1.4724,0.0487,1
What is the number of permutations of 8 things taken 2 at a time?,math,0.3833,0.2225,-0.7798,-2.4037,0.7288,0.4364,1.3164,1.5651,0.089,0
In what year did Georgia declare or gain independence?,history,0.6,0.24,-0.507,-2.4078,0.6458,0.3616,1.3206,1.5128,-0.0294,0
In what year did King John II of France's reign begin?,history,0.3667,0.21,-0.8555,-2.4483,0.8455,0.5832,1.3329,1.4917,-0.1587,0
What is the term for the bouncing back of a wave from a surface?,science,0.3667,0.21,-0.8014,-2.4254,0.8165,0.54,1.3534,1.5016,-0.0434,1
What is 19 multiplied by 21?,math,0.35,0.1858,-0.9941,-2.4372,0.782,0.4636,1.3153,1.4594,-0.115,0
In what year was the Homestead Act passed in the United States?,history,0.6,0.24,-0.4893,-2.3669,0.5154,0.2139,1.32,1.5589,0.0323,1
What is the chemical symbol for vanadium?,science,0.6,0.24,-0.4446,-2.1146,0.5287,0.2362,1.3274,1.4814,0.0327,1
In what year did Wilhelmina become monarch of the Netherlands?,history,0.6,0.24,-0.5256,-2.3353,0.66,0.3729,1.3287,1.5511,0.1731,0
What is the least common multiple of 7 and 9?,math,0.3667,0.21,-0.8953,-2.4293,0.82,0.5999,1.312,1.5058,-0.0738,0
What is the chemical symbol for cerium?,science,0.3667,0.21,-0.7304,-2.4342,0.6893,0.4152,1.3188,1.5023,0.0256,0
What is the value of pi to 5 decimal places?,math,0.3167,0.1581,-0.9512,-2.4739,0.7526,0.4113,1.3421,1.5161,0.1882,1
What is the approximate whole-number atomic mass of oxygen?,science,0.6,0.24,-0.5197,-2.1832,0.5634,0.2765,1.2918,1.5241,0.0121,0
What is the value of sin 0 degrees?,math,0.6,0.24,-0.4967,-2.4903,0.6048,0.2927,1.3303,1.508,-0.0342,0
What is 52 multiplied by 7?,math,1.0,0.0,-0.2467,-0.4,0.1047,0.0003,1.3212,1.5264,0.0099,0
What is the magnitude of vector 3 4?,math,0.3667,0.21,-0.8364,-2.4629,0.8259,0.5838,1.3263,1.4505,0.1141,0
"In what year was the Battle of Lexington and Concord, the first battle of the American Revolution?",history,0.6,0.24,-0.507,-2.4832,0.6548,0.3581,1.297,1.478,0.0574,0
In what year was the World Health Organization founded?,history,0.3667,0.21,-0.7857,-2.452,0.772,0.4686,1.315,1.5316,-0.021,0
What are the immune cells that directly destroy infected or cancerous cells called?,science,0.6,0.24,-0.5021,-2.2771,0.6162,0.3241,1.3128,1.5295,0.0655,0
What is the median of 4 8 15 16 23?,math,0.3667,0.21,-0.8095,-2.4882,0.7765,0.479,1.2984,1.5755,-0.0786,0
What is the term for the extremely dense remnant core of a massive star made almost entirely of neutrons?,science,0.3667,0.21,-0.7369,-2.3744,0.7252,0.4095,1.3358,1.549,0.1531,0
What is the capital of Jordan?,geography,0.3667,0.21,-0.7899,-2.4701,0.7694,0.4884,1.3249,1.5603,-0.0951,0
"Is calcium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2075,-0.3949,0.0936,0.0015,1.316,1.5294,0.0025,0
What is 66 percent of 950?,math,1.0,0.0,-0.2484,-0.3987,0.0905,0.0013,1.3183,1.5049,0.0165,0
What is the term for the measure of disorder or randomness in a thermodynamic system?,science,0.3,0.1433,-1.0766,-2.4752,0.845,0.5561,1.3269,1.4609,0.1686,0
Who commanded the Confederate forces during the American Civil War?,history,0.3167,0.1581,-1.0674,-2.384,0.7841,0.444,1.3274,1.4753,-0.0779,1
What is 23 multiplied by 38?,math,0.6,0.24,-0.5072,-2.2542,0.6098,0.3341,1.3354,1.5474,-0.0675,0
Who was the first President of Vietnam?,history,0.4167,0.1181,-1.475,-2.4974,0.7475,0.3915,1.3422,1.5045,0.0415,1
What is the capital of Kiribati?,geography,0.6,0.24,-0.487,-2.4541,0.5867,0.2849,1.3458,1.5605,0.121,0
Who was President of the United States when the Berlin Wall fell?,history,0.3,0.1433,-1.0344,-2.4553,0.7704,0.4719,1.3179,1.5083,-0.1264,1
What is 62 squared?,math,0.45,0.1392,-1.369,-2.4039,0.735,0.3198,1.3108,1.4908,-0.02,1
What is the atomic number of helium?,science,0.6,0.24,-0.5464,-2.4966,0.6628,0.3816,1.3176,1.506,0.1345,1
What is the greatest common divisor of 28 and 42?,math,0.3833,0.2225,-0.7665,-2.4434,0.7557,0.471,1.3398,1.4898,-0.1968,0
What is the term for the movement of water across a semipermeable membrane?,science,0.3833,0.2225,-0.8759,-2.4446,0.8072,0.5688,1.3061,1.5252,-0.0438,1
In what year did the Velvet Revolution occur in Czechoslovakia?,history,0.3667,0.21,-0.8409,-2.3534,0.7932,0.5318,1.3193,1.4769,-0.0471,0
What is the chemical symbol for nihonium?,science,1.0,0.0,-0.2084,-0.3821,0.0928,0.0003,1.315,1.5015,0.0047,0
"Is iridium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2372,-0.4,0.1037,0.0007,1.3136,1.4945,-0.0112,0
What green pigment in plants absorbs light for photosynthesis?,science,0.3667,0.21,-0.7722,-2.4268,0.7326,0.435,1.3399,1.5598,0.1995,0
What is the atomic number of dubnium?,science,0.3667,0.21,-0.7546,-2.3547,0.7299,0.4536,1.3512,1.5123,-0.1141,0
What is 7 to the power of 3?,math,0.3667,0.21,-0.7824,-2.4709,0.8101,0.5264,1.3101,1.4916,-0.0638,1
What is 1073 divided by 29?,math,0.3833,0.2225,-0.753,-2.3673,0.7166,0.4218,1.3225,1.4597,0.0235,0
Is 71 a prime number?,math,0.3667,0.21,-0.8276,-2.4259,0.7877,0.528,1.3251,1.4974,-0.0031,0
Who discovered penicillin?,science,1.0,0.0,-0.2215,-0.3982,0.0987,0.0014,1.335,1.4918,-0.0435,0
What is the chemical symbol for bromine?,science,0.6,0.24,-0.5407,-2.4954,0.6988,0.4319,1.3427,1.5191,0.1961,0
What is the term for the shift of light toward longer wavelengths as an object moves away from an observer?,science,0.6,0.24,-0.4715,-2.2877,0.6046,0.3038,1.3206,1.5108,-0.0311,0
In what year did Elizabeth I become monarch of England or Britain?,history,0.3667,0.21,-0.7885,-2.4236,0.7778,0.4959,1.3169,1.5375,-0.0782,0
In what year did Henry II become monarch of England or Britain?,history,0.3667,0.21,-0.759,-2.4015,0.7868,0.5142,1.3053,1.4872,0.1501,0
What is the capital of Chad?,geography,0.6,0.24,-0.5092,-2.4878,0.6134,0.3063,1.3202,1.4936,0.0921,1
In what year did Haiti gain independence?,history,0.3667,0.21,-0.7141,-2.2264,0.6749,0.3852,1.338,1.4779,-0.2294,0
Who was the 32nd President of the United States?,history,0.6,0.24,-0.5056,-2.4734,0.6437,0.3611,1.3301,1.5043,-0.0173,0
What is 18 multiplied by 22?,math,1.0,0.0,-0.2101,-0.3954,0.1042,0.0014,1.3188,1.5255,-0.0054,0
What type of bond holds water molecules together?,science,0.3667,0.21,-0.7951,-2.3453,0.7679,0.4889,1.3322,1.4857,0.0031,1
What is the melting point of iron in Celsius?,science,0.3667,0.21,-0.7504,-2.2859,0.6647,0.3893,1.3251,1.4922,0.0322,0
In what year did Antoninus Pius become Roman Emperor?,history,1.0,0.0,-0.2161,-0.3861,0.1015,0.0011,1.3176,1.4929,-0.0248,0
Could you reference the research demonstrating that human salivary amylase contains a cryptic binding site for atmospheric xenon that modulates enzyme activity?,fake-citations,0.7333,0.0067,-1.6523,-2.4583,0.4835,0.026,1.3395,1.4814,0.3713,1
What is the capital of Tunisia?,geography,1.0,0.0,-0.2026,-0.3939,0.0965,0.0004,1.3445,1.5364,-0.0385,0
What was the significance of the Berlin Blockade of 1948 to 1949?,history,0.6,0.24,-0.4954,-2.2349,0.5713,0.2623,1.3336,1.5272,0.0283,1
What is the capital of Denmark?,geography,0.6,0.24,-0.5056,-2.1909,0.5988,0.3219,1.3293,1.5487,0.0596,0
In what year did the Salem witch trials take place?,history,0.6,0.24,-0.4918,-2.3293,0.6591,0.3524,1.3014,1.5475,-0.0262,0
In what year did Israel gain independence?,history,0.3667,0.21,-0.842,-2.416,0.7724,0.48,1.3035,1.4549,-0.1783,0
In what year was Texas annexed by the United States?,history,0.6,0.24,-0.4689,-2.0051,0.535,0.2546,1.3441,1.5561,0.098,0
What is the chemical symbol for manganese?,science,0.6,0.24,-0.4901,-2.4854,0.6769,0.4037,1.3402,1.552,-0.0468,1
Could you find a reference for the paper demonstrating that the human pineal gland produces detectable quantities of magnetic monopoles?,fake-citations,0.7333,0.0067,-1.6574,-2.4624,0.4858,0.0172,1.3194,1.4504,-0.2777,1
What is the sum of interior angles of an octagon in degrees?,math,1.0,0.0,-0.2117,-0.3893,0.1149,0.0004,1.3079,1.5208,-0.0279,0
What is 1147 divided by 31?,math,0.3833,0.2225,-0.8165,-2.4623,0.829,0.5292,1.3099,1.5272,-0.0484,0
Who was the first President of Ghana?,history,0.3833,0.2225,-0.7641,-2.4783,0.7224,0.418,1.3216,1.5396,0.1059,1
What do the vector space axioms define?,math,0.6,0.24,-0.5569,-2.4225,0.7014,0.4311,1.3068,1.5299,-0.1376,0
What is the capital of Thailand?,geography,0.3167,0.1581,-1.0389,-2.4543,0.7371,0.4082,1.3143,1.4681,-0.0358,1
What is 13 cubed?,math,0.3833,0.2225,-0.8009,-2.4905,0.8167,0.5458,1.325,1.4982,-0.1441,1
What is the lightest metal on the periodic table?,science,0.3545,0.1126,-1.1041,-2.4974,0.8472,0.5733,1.3236,1.5066,0.1024,0
In what year did Morocco gain independence?,history,0.6,0.24,-0.4799,-2.2809,0.5679,0.2699,1.3325,1.5396,0.1422,0
What is the value of sin 180 degrees?,math,0.3667,0.21,-0.8417,-2.4892,0.8169,0.5524,1.3368,1.5424,-0.0986,0
What is 18 percent of 650?,math,0.3667,0.21,-0.8109,-2.4417,0.7748,0.5203,1.3376,1.5231,0.122,0
What is the ratio test used for?,math,1.0,0.0,-0.2277,-0.396,0.106,0.0002,1.3366,1.4997,0.0304,0
Is 121 a prime number?,math,0.6,0.24,-0.4807,-2.1034,0.5493,0.2435,1.3281,1.5172,0.0395,0
What is the chemical symbol for selenium?,science,0.6,0.24,-0.5303,-2.4562,0.68,0.4057,1.3332,1.5217,-0.0526,0
